"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2016 14:30 - 04.01.2016 14:45","55014","66155"
"04.01.2016 14:45 - 04.01.2016 15:00","54187","65977"
"04.01.2016 15:00 - 04.01.2016 15:15","54995","66101"
"04.01.2016 15:15 - 04.01.2016 15:30","54528","65748"
"04.01.2016 15:30 - 04.01.2016 15:45","54474","65608"
"04.01.2016 15:45 - 04.01.2016 16:00","54411","65494"
"04.01.2016 16:00 - 04.01.2016 16:15","53522","65702"
"04.01.2016 16:15 - 04.01.2016 16:30","54725","66163"
"04.01.2016 16:30 - 04.01.2016 16:45","55499","67042"
"04.01.2016 16:45 - 04.01.2016 17:00","56257","68262"
"04.01.2016 17:00 - 04.01.2016 17:15","56735","69317"
"04.01.2016 17:15 - 04.01.2016 17:30","57834","70002"
"04.01.2016 17:30 - 04.01.2016 17:45","57906","70553"
"04.01.2016 17:45 - 04.01.2016 18:00","58191","70702"
"04.01.2016 18:00 - 04.01.2016 18:15","57553","70393"
"04.01.2016 18:15 - 04.01.2016 18:30","57836","70228"
"04.01.2016 18:30 - 04.01.2016 18:45","57457","70101"
"04.01.2016 18:45 - 04.01.2016 19:00","57177","70075"
"04.01.2016 19:00 - 04.01.2016 19:15","58293","69585"
"04.01.2016 19:15 - 04.01.2016 19:30","56059","68812"
"04.01.2016 19:30 - 04.01.2016 19:45","55548","67899"
"04.01.2016 19:45 - 04.01.2016 20:00","55520","67241"
"04.01.2016 20:00 - 04.01.2016 20:15","54796","66120"
"04.01.2016 20:15 - 04.01.2016 20:30","53460","64592"
"04.01.2016 20:30 - 04.01.2016 20:45","52336","63481"
"04.01.2016 20:45 - 04.01.2016 21:00","51790","62647"
"04.01.2016 21:00 - 04.01.2016 21:15","51876","62081"
"04.01.2016 21:15 - 04.01.2016 21:30","51493","61484"
"04.01.2016 21:30 - 04.01.2016 21:45","50678","60870"
"04.01.2016 21:45 - 04.01.2016 22:00","50783","60026"
"04.01.2016 22:00 - 04.01.2016 22:15","49911","60093"
"04.01.2016 22:15 - 04.01.2016 22:30","50347","59417"
"04.01.2016 22:30 - 04.01.2016 22:45","49505","58361"
"04.01.2016 22:45 - 04.01.2016 23:00","48403","57365"
"04.01.2016 23:00 - 04.01.2016 23:15","47224","56116"
"04.01.2016 23:15 - 04.01.2016 23:30","46471","55074"
"04.01.2016 23:30 - 04.01.2016 23:45","45951","54216"
"04.01.2016 23:45 - 05.01.2016 00:00","44871","53550"
"05.01.2016 00:00 - 05.01.2016 00:15","45537","52776"
"05.01.2016 00:15 - 05.01.2016 00:30","45420","51996"
"05.01.2016 00:30 - 05.01.2016 00:45","44790","51316"
"05.01.2016 00:45 - 05.01.2016 01:00","44900","50627"
"05.01.2016 01:00 - 05.01.2016 01:15","44005","50029"
"05.01.2016 01:15 - 05.01.2016 01:30","43688","49430"
"05.01.2016 01:30 - 05.01.2016 01:45","43479","49073"
"05.01.2016 01:45 - 05.01.2016 02:00","43326","49062"
"05.01.2016 02:00 - 05.01.2016 02:15","43318","48525"
"05.01.2016 02:15 - 05.01.2016 02:30","42933","48329"
"05.01.2016 02:30 - 05.01.2016 02:45","42822","48264"
"05.01.2016 02:45 - 05.01.2016 03:00","42756","48477"
"05.01.2016 03:00 - 05.01.2016 03:15","42973","48484"
"05.01.2016 03:15 - 05.01.2016 03:30","43026","48557"
"05.01.2016 03:30 - 05.01.2016 03:45","42992","48883"
"05.01.2016 03:45 - 05.01.2016 04:00","43417","48951"
"05.01.2016 04:00 - 05.01.2016 04:15","43277","49161"
"05.01.2016 04:15 - 05.01.2016 04:30","43969","49232"
"05.01.2016 04:30 - 05.01.2016 04:45","43572","49608"
"05.01.2016 04:45 - 05.01.2016 05:00","43973","49788"
"05.01.2016 05:00 - 05.01.2016 05:15","45182","51220"
"05.01.2016 05:15 - 05.01.2016 05:30","45118","51831"
"05.01.2016 05:30 - 05.01.2016 05:45","46013","52510"
"05.01.2016 05:45 - 05.01.2016 06:00","46379","53484"
"05.01.2016 06:00 - 05.01.2016 06:15","48455","55093"
"05.01.2016 06:15 - 05.01.2016 06:30","49624","57011"
"05.01.2016 06:30 - 05.01.2016 06:45","51120","58707"
"05.01.2016 06:45 - 05.01.2016 07:00","52353","59953"
"05.01.2016 07:00 - 05.01.2016 07:15","53652","61736"
"05.01.2016 07:15 - 05.01.2016 07:30","53059","62932"
"05.01.2016 07:30 - 05.01.2016 07:45","53678","64106"
"05.01.2016 07:45 - 05.01.2016 08:00","54739","65237"
"05.01.2016 08:00 - 05.01.2016 08:15","55283","66000"
"05.01.2016 08:15 - 05.01.2016 08:30","55417","66224"
"05.01.2016 08:30 - 05.01.2016 08:45","55624","66668"
"05.01.2016 08:45 - 05.01.2016 09:00","55738","66983"
"05.01.2016 09:00 - 05.01.2016 09:15","55943","66756"
"05.01.2016 09:15 - 05.01.2016 09:30","56231","66895"
"05.01.2016 09:30 - 05.01.2016 09:45","56467","67294"
"05.01.2016 09:45 - 05.01.2016 10:00","56952","67642"
"05.01.2016 10:00 - 05.01.2016 10:15","56946","68018"
"05.01.2016 10:15 - 05.01.2016 10:30","57213","68050"
